Title, Uploader, Date, URL
"The Craft of Writing Effectively", "University of Chicago Social Sciences", "Jun 27, 2014", "https://www.youtube.com/watch?v=vtIzMaLkCaM"
"Linguistics Style and Writing in the 21st Century", "The Royal Institution", "Oct 28, 2015", "https://www.youtube.com/watch?v=OV5J6BfToSw"
"Harvard Professor Explains The Rules of Writing", "Harvard University", "Jun 4, 2025", "https://www.youtube.com/watch?v=nBQPnvmaNcE"
"Stylish Academic Writing", "Harvard University", "May 21, 2013", "https://www.youtube.com/watch?v=IE-TTz13P7w"
"How YOU can change the world through WRITING with Alan Moore", "BBC Maestro", "Apr 8, 2025", "https://www.youtube.com/watch?v=oXr4sWVSbz0"
