Title, Author, Year Published, Date Added
"The Elements of Style Illustrated", "William Strunk Jr. and E.B. White, illustrated by Maira Kalman", 2005, 09-03-2023 
"Collins English Dictionary Reference Edition", "", 2017, 17-07-2023
