Title, Uploader, Date, URL
"PhD: How to give a great research talk", "Microsoft Research", "Aug 12, 2016", "https://www.youtube.com/watch?v=Z2NToI2XIR8"
"PhD: How to write a great research paper", "Microsoft Research", " Aug 12, 2016", "https://www.youtube.com/watch?v=1AYxMbYZQ1Y"
